dataset,date,train,epoch,batch,rate,layers,structure,nonlinearity,dropout,accuracy,error,index,model
R8,160123-085040,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(200.0, 50.0), BB(200.0, 200.0), BB(200.0, 200.0)",96.67%,3.33%,-1,
R52,160201-231013,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","BB(200.0, 50.0), BB(200.0, 200.0), BB(200.0, 200.0)",93.11%,6.89%,-1,
WebKB,160129-062334,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(200.0, 50.0), BB(200.0, 200.0), BB(200.0, 200.0)",89.15%,10.85%,-1,
SentPolarity,160208-065708,6823,1000,1,0.001,"dense, dense, dense","1024, 1024, 2","rectify, rectify, softmax","BB(200.0, 50.0), BB(200.0, 200.0), BB(200.0, 200.0)",74.80%,25.20%,-1,
R8,160126-091827,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(200.0, 50.0), MBB(0.5, 1.0), MBB(0.5, 1.0)",96.80%,3.20%,-1,
WebKB,160209-015017,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(200.0, 50.0), MBB(0.5, 1.0), MBB(0.5, 1.0)",90.46%,9.54%,-1,
R8,160126-093046,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(200.0, 50.0), MBB(0.5, 10.0), MBB(0.5, 10.0)",97.49%,2.51%,-1,
WebKB,160209-015200,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(200.0, 50.0), MBB(0.5, 10.0), MBB(0.5, 10.0)",90.46%,9.54%,-1,
R8,160126-093018,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(200.0, 50.0), MBB(0.5, 5.0), MBB(0.5, 5.0)",96.80%,3.20%,-1,
WebKB,160209-015134,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(200.0, 50.0), MBB(0.5, 5.0), MBB(0.5, 5.0)",89.95%,10.05%,-1,
R8,160123-084939,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(50.0, 12.5), BB(50.0, 50.0), BB(50.0, 50.0)",96.30%,3.70%,-1,
R52,160201-230746,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","BB(50.0, 12.5), BB(50.0, 50.0), BB(50.0, 50.0)",93.07%,6.93%,-1,
WebKB,160129-062148,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(50.0, 12.5), BB(50.0, 50.0), BB(50.0, 50.0)",90.82%,9.18%,-1,
SentPolarity,160208-065248,6823,1000,1,0.001,"dense, dense, dense","1024, 1024, 2","rectify, rectify, softmax","BB(50.0, 12.5), BB(50.0, 50.0), BB(50.0, 50.0)",75.60%,24.40%,-1,
R8,160126-091411,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 1.0), MBB(0.5, 1.0)",96.53%,3.47%,-1,
R52,160209-000609,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 1.0), MBB(0.5, 1.0)",92.99%,7.01%,-1,
WebKB,160209-002038,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 1.0), MBB(0.5, 1.0)",90.60%,9.40%,-1,
R8,160126-092442,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 10.0), MBB(0.5, 10.0)",96.39%,3.61%,-1,
R52,160209-000738,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 10.0), MBB(0.5, 10.0)",93.26%,6.74%,-1,
WebKB,160209-002232,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 10.0), MBB(0.5, 10.0)",89.80%,10.20%,-1,
R8,160126-092253,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 5.0), MBB(0.5, 5.0)",96.94%,3.06%,-1,
R52,160209-000655,5200,1000,1,0.001,"dense, dense, dense","1024, 1024, 52","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 5.0), MBB(0.5, 5.0)",93.26%,6.74%,-1,
WebKB,160209-002202,2300,2000,1,0.001,"dense, dense, dense","1024, 1024, 4","rectify, rectify, softmax","BB(50.0, 12.5), MBB(0.5, 5.0), MBB(0.5, 5.0)",90.60%,9.40%,-1,
R8,160126-085121,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","MBB(0.8, 1.0), MBB(0.5, 1.0), MBB(0.5, 1.0)",96.94%,3.06%,-1,
R8,160126-085252,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","MBB(0.8, 10.0), MBB(0.5, 10.0), MBB(0.5, 10.0)",96.67%,3.33%,-1,
R8,160126-085353,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","MBB(0.8, 5.0), MBB(0.5, 5.0), MBB(0.5, 5.0)",97.21%,2.79%,-1,
R8,160126-085852,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","MBB(0.9, 1.0), MBB(0.5, 1.0), MBB(0.5, 1.0)",96.71%,3.29%,-1,
R8,160126-090146,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","MBB(0.9, 10.0), MBB(0.5, 10.0), MBB(0.5, 10.0)",96.12%,3.88%,-1,
R8,160126-090021,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","MBB(0.9, 5.0), MBB(0.5, 5.0), MBB(0.5, 5.0)",97.08%,2.92%,-1,
R8,160125-063204,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), B(0.5), BB(0.5)",97.17%,2.83%,-1,
R8,160125-063001,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), BB(100.0, 100.0), BB(100.0, 100.0)",96.12%,3.88%,-1,
R8,160125-063522,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), BB(200.0, 200.0), BB(200.0, 200.0)",96.44%,3.56%,-1,
R8,160125-063351,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), BB(50.0, 50.0), BB(50.0, 50.0)",96.53%,3.47%,-1,
R8,160125-065111,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), MBB(0.5, 1.0), MBB(0.5, 1.0)",96.98%,3.02%,-1,
R8,160125-065423,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), MBB(0.5, 10.0), MBB(0.5, 10.0)",96.48%,3.52%,-1,
R8,160125-070057,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), MBB(0.5, 20.0), MBB(0.5, 20.0)",96.71%,3.29%,-1,
R8,160125-065320,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), MBB(0.5, 5.0), MBB(0.5, 5.0)",96.57%,3.43%,-1,
R8,160125-070221,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), MBB(0.5, 50.0), MBB(0.5, 50.0)",95.39%,4.61%,-1,
R8,160125-061747,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RBB(15000.0, 1.0), RBB(1000.0, 1.0), RBB(1000.0, 1.0)",97.26%,2.74%,-1,
R8,160125-195705,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), B(0.5), B(0.5)",95.98%,4.02%,-1,
R8,160125-195755,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), BB(100.0, 100.0), BB(100.0, 100.0)",91.41%,8.59%,-1,
R8,160125-195823,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), BB(200.0, 200.0), BB(200.0, 200.0)",96.53%,3.47%,-1,
R8,160125-195749,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), BB(50.0, 50.0), BB(50.0, 50.0)",96.39%,3.61%,-1,
R8,160125-195855,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), MBB(0.5, 1.0), MBB(0.5, 1.0)",96.21%,3.79%,-1,
R8,160125-200032,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), MBB(0.5, 10.0), MBB(0.5, 10.0)",95.25%,4.75%,-1,
R8,160125-200103,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), MBB(0.5, 20.0), MBB(0.5, 20.0)",96.25%,3.75%,-1,
R8,160125-195932,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), MBB(0.5, 5.0), MBB(0.5, 5.0)",84.19%,15.81%,-1,
R8,160125-200002,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), MBB(0.5, 50.0), MBB(0.5, 50.0)",49.47%,50.53%,-1,
R8,160125-195529,4400,200,1,0.001,"dense, dense, dense","1024, 1024, 8","rectify, rectify, softmax","RRBB(15000.0, 1.0), RBB(1000.0, 1.0), RBB(1000.0, 1.0)",95.02%,4.98%,-1,
